created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 14 23:59:00 +0000 2023;1735449338741219797;"@Dargomb33306384 @iam_zelt @alex_hunter146 @icikiwir_08 @tjitrosoenarjo1 @adearmando61 @mas_veel @mpoklela7 @gtobing2903 @OppungTp @BANGSAygSUJUD @wiena_kinasih @neneng_kafir @zy_zy_its_me @xquitavee Dan Jokowi- Prabowo harus bersatu menjadi Prabowo-Gibran sekarang✌ https://t.co/zPgyXw7G7G";0;2;5;3;in;1488004208049930240;1735209716551397563;EffendiRistriy1;https://twitter.com/EffendiRistriy1/status/1735449338741219797
Thu Dec 14 23:58:16 +0000 2023;1735449155236196850;"@drReUtari08 @prabowo @gibran_tweet Pilih AMIN aja perubahan menjadi lebih baik";0;0;0;2;in;1603928079638089730;1735385590592340400;bertumbuh51;https://twitter.com/bertumbuh51/status/1735449155236196850
Thu Dec 14 23:57:07 +0000 2023;1735448865556566385;"@msaid_didu Kalau ada akal sehat,manusia pasti tidak memilih Prabowo &amp  Gibran 🤔";0;0;1;0;in;1497128785585786882;1735442873783595282;Parimpunan62;https://twitter.com/Parimpunan62/status/1735448865556566385
Thu Dec 14 23:55:08 +0000 2023;1735448369286529301;"@ch_chotimah2 @prabowo @gibran_tweet Aku si yes.";0;1;0;0;in;1723139222989864960;1734942545573245013;Hadiri_W;https://twitter.com/Hadiri_W/status/1735448369286529301
Thu Dec 14 23:54:35 +0000 2023;1735448228039213313;"@1HandeDelisii @prabowo @gibran_tweet @Gerindra @golkar_id @Official_PAN @JayHam1998 @03__nakula @Faisaladtyy Orang orang yg murni dukung Prabowo tak pernah menyerang dengan isu HAM, tapi sayang kami dikhianati dan kami bertekad melawan prabowo dan Ganjar bersama Anies Baswedan";0;0;0;0;in;720758023266963458;1735245734197571707;beckykelcmyli;https://twitter.com/beckykelcmyli/status/1735448228039213313
Thu Dec 14 23:54:11 +0000 2023;1735448129296859620;"Zulhas Optimistis Prabowo-Gibran Menang Satu Putaran Seusai Debat Capres https://t.co/TLmE1Orctz #beritasatu #debatcaprescawapres #bersatukawalpemilu";0;7;1;6;in;154102750;1735448129296859620;Beritasatu;https://twitter.com/Beritasatu/status/1735448129296859620
Thu Dec 14 23:51:52 +0000 2023;1735447547093954580;"@Dargomb33306384 @iam_zelt @alex_hunter146 @icikiwir_08 @tjitrosoenarjo1 @adearmando61 @mas_veel @mpoklela7 @gtobing2903 @OppungTp @BANGSAygSUJUD @wiena_kinasih @neneng_kafir @zy_zy_its_me @xquitavee Jadi supaya lengkap buntutmu tidak buntung lagi🖤❤💙✌✌✌ Para ulama Wali mastur,  Wali yg disembunyikan yg punya karomah, weruh sakdurunge winarah tau sebelum terjadi memberi pesan Prabowo Jokowi bersatu menjadi Prabowo-Gibran 🖤❤💙✌✌👍 https://t.co/4KNX8BA1NH";1;3;6;9;in;1488004208049930240;1735209716551397563;EffendiRistriy1;https://twitter.com/EffendiRistriy1/status/1735447547093954580
Thu Dec 14 23:51:25 +0000 2023;1735447433981898943;"@GiloMoh @zy_zy_its_me 😂🤣 Ada yg dukung prabowo-gibran aja udah aneh, apalagi sampai fanatik buta begitu.. *mempertanyakankeberadaanotak*";0;0;0;1;in;75997935;1734872270706008124;edokece;https://twitter.com/edokece/status/1735447433981898943
Thu Dec 14 23:51:25 +0000 2023;1735447432174219459;"@ch_chotimah2 @ganjarpranowo @mohmahfudmd Sok tahu... Yang survei tertinggi itu pasti diserang paslon no. 1 dan 3...Disitu menunjukkan survei mereka buruk, pasti ANIES-GANJAR menyerang dan PRABOWOGIBRAN dgn survei tertinggi akan bertahan, yang nilai survei tertinggi pasti senang dan tenang, dan yg survei buruk marah..itu";0;0;0;0;in;1634242075985342467;1735100091898503196;AndaruWidy;https://twitter.com/AndaruWidy/status/1735447432174219459
Thu Dec 14 23:49:33 +0000 2023;1735446961707466920;"@narkosun @gibran_tweet Nnt jawabannya pas debat...  BIAR RAKYAT YG MENILAI..BIAR RAKYAT YG MEMUTUSKAN TGL 14 NANTI..KALAU TDK SUKA PRABOWO-GIBRAN YA GAK USAH DIPILIH....  Itu KISI-KISI jawaban kayaknya deh...LIHAT SAJA NNT.";0;0;0;14;in;1384631046444969989;1735271070280945875;JuiceQU_Ummi;https://twitter.com/JuiceQU_Ummi/status/1735446961707466920
