created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 23:56:01 +0000 2023;1724939341246697524;"Saatnya Rakyat memilih untuk Indonesia....Program²prioritas Prabowo-Gibran menuju Indonesia Maju .... #PrabowoGibran2024 https://t.co/4CReJKOUIm";0;2;9;22;in;1227499861580251136;1724939341246697524;Lembayung071;https://twitter.com/Lembayung071/status/1724939341246697524
Wed Nov 15 23:33:01 +0000 2023;1724933555434991618;"@AdrianRoute08 @prabowo Cuekin aja..tetap gass poool #PrabowoGibranIstimewa  #PrabowoGibran2024  ✌️✌️🇮🇩🇮🇩";0;1;1;2;in;1444206305057538052;1724665961754821072;NoviBudi78;https://twitter.com/NoviBudi78/status/1724933555434991618
Wed Nov 15 23:31:31 +0000 2023;1724933175481421978;"@G0mb4k @99propaganda @adri_7i @Alexemeru @AlmaghribiS @AndreasSolusi @B_Hendratmo1 @Bank_Joee_ @drReUtari08 @OppungTp @temanduit @bengkeldodo @BANGSAygSUJUD @Dulure_Gibran @Papa_Brewook @KhoirilAnwar_ @Lembayung071 @Kimberley_2024 @mpoklela7 🤣🤣 #PrabowoGibran2024 aja Salam ✌️✌️🇮🇩🇮🇩";0;1;0;6;in;1444206305057538052;1724842662963064848;NoviBudi78;https://twitter.com/NoviBudi78/status/1724933175481421978
Wed Nov 15 23:02:41 +0000 2023;1724925919251317214;"@JokoButon @yusufagro @alextham878 @Alie_Fahnoor @askencana @BANGSAygSUJUD @Bank_Joee_ @Kimberley_2024 @Chaves1305 @Kenikir27 @AditBandit234 Kalau saya hanya rakyat biasa sih om Dan gak cerdas" banget.. Tapi saya pilih #PrabowoGibran2024 ya om Males pilih Anies om... Dia jongosnya om Paloh  Hahahaha";0;3;1;4;in;2717547397;1724536706236584065;AlmaghribiS;https://twitter.com/AlmaghribiS/status/1724925919251317214
Wed Nov 15 22:44:36 +0000 2023;1724921369220071726;"@xquitavee @prabowo @gibran_tweet @psi_id @jokowi Sbg Pendukung @jokowi  Saya bersama @gibran_tweet milih #PrabowoGibran2024   Sejak 3 partai dengan logo segilima yang ada merahnya kali ini  “Pindah Pilihan” ke @psi_id";0;0;0;0;in;1026208477;1724591423444713876;sig4rpenjalin;https://twitter.com/sig4rpenjalin/status/1724921369220071726
Wed Nov 15 22:14:47 +0000 2023;1724913863643242629;"TAJAM sekali pendukung GANJAR  Otak dan mulut dangkal memang   Saya dan loyalis Jokowi lainnya kok agak gimana gitu  Gak sehat narasinya, anjlok sekalian elektabilitas Ganjar dan PDIP 🤣🤣🤣  #PrabowoGibranMenang #PrabowoGibran2024";0;0;0;0;in;1125548625096921088;1724913863643242629;arya__wiralodra;https://twitter.com/arya__wiralodra/status/1724913863643242629
Wed Nov 15 20:47:27 +0000 2023;1724891885091893300;"Ditekan sendiri Melawan sendiri  Drama sontoloyo NEO KADRUN  ANTITESA JOKOWI  yang pastinya lebih membela PARTAI dan tunduk dari pada membela RAKYAT.  #PrabowoGibranMenang #PrabowoGibran2024";0;4;0;0;in;1125548625096921088;1724891885091893300;arya__wiralodra;https://twitter.com/arya__wiralodra/status/1724891885091893300
Wed Nov 15 19:50:27 +0000 2023;1724877541180313847;"Setuju Bro. Kami bersama dengan Masyarakat Indonesia dari Sabang sampai Merauke, mari menangkan #PrabowoGibran2024 menuju Indonesian Emas 2045 https://t.co/Rnv2NVg64j";1;6;9;20;in;1366617421;1724877541180313847;OppungTp;https://twitter.com/OppungTp/status/1724877541180313847
Wed Nov 15 19:44:25 +0000 2023;1724876024088052053;"Resmi!!! No urut pasangan Capres-Cawapres 2024. Nomer berapa jagoan kalian guys? #Anies #PrabowoGibran2024 #GanjarMahfud2024 https://t.co/vtnJrGaHWY";0;0;0;0;in;1437202333641818113;1724876024088052053;BuleKeriting;https://twitter.com/BuleKeriting/status/1724876024088052053
Wed Nov 15 18:40:42 +0000 2023;1724859987481235775;"#PrabowoGibran2024   Begitupun Ganjar ketika pidato di KPU soal keberpihakan aparat. Apakah pidato anda untuk menutupi keberpihakan aparat dari PDIP? https://t.co/ynPvXnP9li";0;0;0;0;in;1347158496278581248;1724859984801087578;ujangdahmid;https://twitter.com/ujangdahmid/status/1724859987481235775
Wed Nov 15 17:28:58 +0000 2023;1724841936631283979;"Sblm tdr di kasih tau sama mbah togog barusan katanya nih si firli bakal hadir ke polda sambil gandeng Harun Masiku  ...    Katanya mbh togog lho ini ...   Ya wes nite all, tdr dl ah bsk kamis Tetap semangat #PrabowoGibran2024  Menang Total ✌";0;1;2;10;in;1446109632603115524;1724841936631283979;Bank_Joee_;https://twitter.com/Bank_Joee_/status/1724841936631283979
Wed Nov 15 17:12:12 +0000 2023;1724837715659915400;"Beberapa foto momen saat pengundian nomor urut di KPU nih🤭  #2 #relawangibran #relawanbolonemase #relawangibranrakabumingraka #gibranrakabuming #gibranindonesia #PrabowoGibran2024 #Pilpres2024  #TerimaKasihMasGibran #IndonesiaJadiTuanRumahPildun #PialaDuniaDiSolo https://t.co/vI4FMrBygJ";0;0;1;2;in;1681925878329278465;1724837715659915400;RBolonemase;https://twitter.com/RBolonemase/status/1724837715659915400
Wed Nov 15 17:11:44 +0000 2023;1724837601457111064;"Asikin aja bolo💃  #relawangibran #relawanbolonemase #relawangibranrakabumingraka #gibranrakabuming #gibranindonesia #PrabowoGibran2024 #Pilpres2024  #TerimaKasihMasGibran #IndonesiaJadiTuanRumahPildun #PialaDuniaDiSolo #2 https://t.co/rIIgm2mdsN";0;0;1;3;in;1681925878329278465;1724837601457111064;RBolonemase;https://twitter.com/RBolonemase/status/1724837601457111064
Wed Nov 15 16:47:50 +0000 2023;1724831584992575532;"@PS_presiden2024 @putri_Aalona Jagoan aku juga #PrabowoGibran2024  ✌️✌️🇮🇩🇮🇩";0;0;0;2;in;1444206305057538052;1724784207061471264;NoviBudi78;https://twitter.com/NoviBudi78/status/1724831584992575532
Wed Nov 15 16:13:26 +0000 2023;1724822927403778325;"@narkosun Lahh..... itu #kampanye kok fotonya diedit abis²an ?? 🥺  Emang gak PEDE sama wajah aslinya?  #GibranRakabuming terlihat ganteng disini padahal wajah aslinya seperti tukang parkir kebanyakan nelen pil koplo. . . hahaha 🤣🤣 #dekade08  #PrabowoGibran2024";0;0;0;0;in;1598118226759933952;1724792497287925823;fransisca_ning;https://twitter.com/fransisca_ning/status/1724822927403778325
Wed Nov 15 15:58:26 +0000 2023;1724819153931079769;"Note utk pemilih   ▪️Hindari Capres yg doyan Kampanye Hitam ▪️Pilih sesuai aspirasi yg tdk menjelek2 an 0rg lain  ▪️Pilih capres yg akan melanjutkan program pa @jokowi  #PemiluDamai2024  #PrabowoGibran2024 MENANG SATU PUTARAN 🫰🇮🇩 https://t.co/qhDqS6pLbz";1;0;4;27;in;1604408934525464576;1724819153931079769;xquitavee;https://twitter.com/xquitavee/status/1724819153931079769
Wed Nov 15 15:40:25 +0000 2023;1724814619506782415;"@ujangdahmid Salam 2 Jari ✌️✌️🇮🇩🇮🇩 #PrabowoGibran2024";0;0;0;0;in;1444206305057538052;1724736445125214450;NoviBudi78;https://twitter.com/NoviBudi78/status/1724814619506782415
Wed Nov 15 15:37:38 +0000 2023;1724813919985041648;"Semangat! Bersama Indonesia Maju ✌️❤️ #prabowo #prabowosubianto #prabowogibran2024 #gerindra https://t.co/VKpo7Nkyqf";0;0;0;2;in;1604018340388696065;1724813919985041648;Gerindra_Krngsm;https://twitter.com/Gerindra_Krngsm/status/1724813919985041648
Wed Nov 15 15:36:15 +0000 2023;1724813570561740938;"Generasi yang optimis memang harus bisa berfikir seperti ini, mantap mas @kaesangp   #prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik https://t.co/Z7Cu3DeIN2";0;1;11;22;in;1579126996537290752;1724813570561740938;mypresidentid;https://twitter.com/mypresidentid/status/1724813570561740938
Wed Nov 15 14:50:40 +0000 2023;1724802100989960212;"Malam gaes... Bubaran nonton seni drama dan tari kecak   Ingat yaaaaa Nomor 2✌ Jagoan aquh yg makin di hati RAKYAT #PrabowoGibran2024 https://t.co/XzdyUHyE58";0;0;0;2;in;1435248224634241030;1724802100989960212;PS_presiden2024;https://twitter.com/PS_presiden2024/status/1724802100989960212
Wed Nov 15 14:26:48 +0000 2023;1724796092511027359;"Menjemput Kemenangan Indonesia Maju @prabowo   Cc @Gerindra @psi_id  #PrabowoGibran2024 #satuputaran";0;1;0;0;in;343169899;1724796092511027359;indra_hutapea;https://twitter.com/indra_hutapea/status/1724796092511027359
Wed Nov 15 13:59:59 +0000 2023;1724789346002465116;"Maklumin aja ,Pak. Mereka  ingin menggunakan cara lama dan kotor untuk mendulang suara ,fitnah dan hasutan kebacian cara basi yg masih mereka gunakan #PrabowoGibran2024 https://t.co/kooy3nXpKs";0;1;0;1;in;162023248;1724789346002465116;kadrunbengal;https://twitter.com/kadrunbengal/status/1724789346002465116
Wed Nov 15 13:51:16 +0000 2023;1724787150330405055;"Benci tp rindu=dihujat tp dirindukan kehadirannya #PrabowoGibran2024";0;8;2;15;in;1506138031429861378;1724787150330405055;cocolatetwo;https://twitter.com/cocolatetwo/status/1724787150330405055
