created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 01 23:59:45 +0000 2023;1730738486834307384;"@Momonsimomon @NOTASLIMBOY bisa bisanya dibilang paham konstitusi 😂. yg pilih Prabowo-Gibran brarti ga paham konstitusi.";0;1;0;0;in;1118336694971854848;1730559473801211931;MinjaaWira;https://twitter.com/MinjaaWira/status/1730738486834307384
Fri Dec 01 23:59:43 +0000 2023;1730738480488300849;"@Heraloebss @PartaiSocmed @kurawa @mazzini_gsp @logikapolitikid @prabowo @gibran_tweet Dulu bela bapaknya.  Habis itu seolah² oposisi. (Apa krn gak dapat jatah? )  Eh sekarang pilih anaknya. 🤣🤣🤣🤣🤣 Lucu....  Lucu....";0;0;0;0;in;509930026;1730564513710391575;PakDheGondrong;https://twitter.com/PakDheGondrong/status/1730738480488300849
Fri Dec 01 23:59:09 +0000 2023;1730738334925021574;"@ZulkifliLubis69 @tvOneNews @ILCTalkshow @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd Tokoh yg tengah itu bahaya .. pahamkan?";0;0;0;0;in;1505123419133661187;1730201336602567102;AnangS48648467;https://twitter.com/AnangS48648467/status/1730738334925021574
Fri Dec 01 23:59:00 +0000 2023;1730738296932675995;"Hadiri Pengajian BKMT Kota Bekasi, Nofel Saleh Hilabi Jadi Caleg DPR Idola Emak-Emak #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/qqR3cOS1EW";0;0;46;11;in;721898354502930433;1730738296932675995;golkarpedia;https://twitter.com/golkarpedia/status/1730738296932675995
Fri Dec 01 23:53:55 +0000 2023;1730737017942843473;"@Aryprasetyo85 @007koteka @03__nakula @__AnakKolong @FirzaHusainID @ganjarpranowo @Muhayya__ @Miduk17 @hyang_wisnu @Gus_Raharjo @GunRomli Sudah sangat sistematis mereka mengubah semua aturan demi Gibran . Kita tinggal menunggu surat suara itu gambarnya Prabowo Gibran semua . Jd no rakyat mau coblos no 1 no 2 atau no 3 gambarnya Prabowo Gibran semua";0;0;0;0;in;3263924754;1730561759876895203;EkoEkobigcity;https://twitter.com/EkoEkobigcity/status/1730737017942843473
Fri Dec 01 23:52:52 +0000 2023;1730736756587381212;"@Heraloebss @PartaiSocmed @kurawa @mazzini_gsp @logikapolitikid @prabowo @gibran_tweet Anak.harqm";0;0;0;0;eu;1312959065966833664;1730564513710391575;seanwaterfire;https://twitter.com/seanwaterfire/status/1730736756587381212
Fri Dec 01 23:51:58 +0000 2023;1730736527741952465;"jangan cuma gambar ini aja mas, coba attach juga link postingan prabowo gibran/gerindra/dll yang posting😂";0;0;0;0;in;2759059186;1730736527741952465;newjoens;https://twitter.com/newjoens/status/1730736527741952465
Fri Dec 01 23:50:40 +0000 2023;1730736202817679461;"Ketua Umum DPP Partai Golkar  Yang Juga Ketua Dewan Pengarah  Tim Kampanye Nasional (TKN) Prabowo Subianto @prabowo - Gibran Rakabuming @gibran_tweet Airlangga Hartarto @airlangga_hrt Memimpin Rapat Konsolidasi di Kantor DPP Partai Golkar  #partaigolkar #golkarprabowo… https://t.co/JvjzyzNuTH";0;0;46;9;in;721898354502930433;1730736202817679461;golkarpedia;https://twitter.com/golkarpedia/status/1730736202817679461
Fri Dec 01 23:48:41 +0000 2023;1730735700910490029;"@liputan6dotcom bener2 ini capres cawapres @prabowo @gibran_tweet ga punya percaya diri krn emg ga ada prestasi yg dibanggain..jd pake andelan jurus kekuatan orang dalam @jokowi ..kaya gini mau jd pemimpin @Gerindra @psi_id ??";0;0;0;1;in;1642526994515779585;1730709886370267483;abidin_shabir;https://twitter.com/abidin_shabir/status/1730735700910490029
Fri Dec 01 23:48:17 +0000 2023;1730735601820008566;"@hipohan Uda tau ga bisa debat,2024 jangan pilih Prabowo - Gibran. Planga plongo";0;0;0;0;in;1568372878097395712;1730551162183835814;CalekGuntur;https://twitter.com/CalekGuntur/status/1730735601820008566
Fri Dec 01 23:47:01 +0000 2023;1730735283572973933;"@Heraloebss @PartaiSocmed @kurawa @mazzini_gsp @logikapolitikid @prabowo @gibran_tweet akun legend? ternyata semua mati rasa, mempersatukan apa? 10 thn berantem, anaknya jadi wakil apa ga diterusin tuh? wakakaka";0;0;0;0;in;179383193;1730564513710391575;budiindrayana;https://twitter.com/budiindrayana/status/1730735283572973933
Fri Dec 01 23:44:30 +0000 2023;1730734649436168358;"@Heraloebss @_redlips___ @PartaiSocmed @kurawa @mazzini_gsp @logikapolitikid @prabowo @gibran_tweet halu banget😀😀 ditanya aja clingak clinguk, yuk ah masa ketutup bgt hatinya.";0;0;0;0;in;179383193;1730564513710391575;budiindrayana;https://twitter.com/budiindrayana/status/1730734649436168358
Fri Dec 01 23:43:14 +0000 2023;1730734331390579074;"@99propaganda @prabowo @gibran_tweet Halu.......2019 itu adalah suara anti jokowi, lha sekarang prabowo adalah jokowi...";0;0;0;0;in;1554373433185935361;1730428807830773868;MuhajirinPpu;https://twitter.com/MuhajirinPpu/status/1730734331390579074
Fri Dec 01 23:41:08 +0000 2023;1730733800337129695;"Pesan Ketua Umum PSI Kaesang kepada Prabowo-Gibran - https://t.co/bpbvdbEXWd https://t.co/jtUV63OXtr #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;797615281455525888;1730733800337129695;AzzrielAzaryahu;https://twitter.com/AzzrielAzaryahu/status/1730733800337129695
Fri Dec 01 23:40:06 +0000 2023;1730733542219649078;"@NcangBeni @dewakedelapan @3Vluzi @prabowo @gibran_tweet Harus di usut nih pemikik akun dan penyebar kebencian @CCICPolri @Gerindra";0;1;0;0;in;626083640;1730583284005105944;rupa2warnanyah;https://twitter.com/rupa2warnanyah/status/1730733542219649078
Fri Dec 01 23:39:20 +0000 2023;1730733347566157904;"@NcangBeni @dewakedelapan @3Vluzi @prabowo @gibran_tweet Itu kan akun gronbolan elu juga bong cebongg wkkwkw";0;1;0;1;in;626083640;1730583284005105944;rupa2warnanyah;https://twitter.com/rupa2warnanyah/status/1730733347566157904
Fri Dec 01 23:37:41 +0000 2023;1730732935593312428;"selamat #pagi #prabowogibran Awokawokawok 🤣🤣  #kampanyekreatif #ai #ChatGPT #Midjourney #RunwayML #PikaLab #Capcut #kolab #poliklitik https://t.co/7KqYSTbtTo";0;0;0;0;in;1716085805138202624;1730732935593312428;relawanprabu;https://twitter.com/relawanprabu/status/1730732935593312428
Fri Dec 01 23:36:33 +0000 2023;1730732649810116831;"Dukungan Ulama Bakar Semangat Prabowo-Gibran di Pilpres 2024 https://t.co/4v219H6ZyF";0;1;0;0;in;154102750;1730732649810116831;Beritasatu;https://twitter.com/Beritasatu/status/1730732649810116831
Fri Dec 01 23:33:24 +0000 2023;1730731855023071343;"@Kaki_Langith @Heraloebss @PartaiSocmed @kurawa @mazzini_gsp @logikapolitikid @prabowo @gibran_tweet Percuma debat ujung2nya cuma retorika belaka....lihat yg debat sekarang ini sdh pernah diberi amanah semua tapi lihat hanya pas. No 2 yg masih kelihatan hasilnya, yg lain kebanyakan jualan retorika alias cuma bisa ngomong dan tidak ada kebijakan pro rakyat kecil..";0;0;0;0;in;1497305011562610688;1730564513710391575;blarakering;https://twitter.com/blarakering/status/1730731855023071343
