created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,VerifiedStatus,FollowersCount,sentiment_label,sentiment_score,hashtag
2023-12-11 23:55:55+00:00,1734361401635082594,"@datuakrajoangek hal yg wajar Prabowo Gibran naik, karena berdasarkan survey litbang kompas, gerindra 21,9 salip pdip 18,3 . senyumin aja. 🫰 https://t.co/KZgaoxOjny",0,0,1,0,in,79985385,1734340002065358901,steven_bawole,https://twitter.com/steven_bawole/status/1734361401635082594,Not Verified,Follower Count Not Found,netral,0,[]
2023-12-11 23:54:06+00:00,1734360943013019686,"@kompascom prabowo gibran ga nyapres pun bansos tetap lanjut, jul jul",0,0,0,0,in,21816575,1734126052509938072,pianlauding,https://twitter.com/pianlauding/status/1734360943013019686,Not Verified,Follower Count Not Found,netral,0,[]
2023-12-11 23:47:42+00:00,1734359333243400435,"@HaeroenE @prabowo @gibran_tweet @bawaslu_RI Hadeh... Ada kok Capres yang pendukungnya amplap amplop, padahal dukungannya sendiri bisa sampe 50 juta per orang...",0,0,0,1,in,1511952083439996928,1734042369828557008,MukarromahNur78,https://twitter.com/MukarromahNur78/status/1734359333243400435,Not Verified,158,negatif,-1,[]
2023-12-11 23:47:28+00:00,1734359276213461047,Apa saja Program Kerja Prabowo @prabowo Gibran @gibran_tweet untuk Indonesia Maju menuju Indonesia Emas ? #PrabowoGibranJuara2024✌️🫰🇮🇩 https://t.co/QhqmQIa2t7,0,0,0,1,in,1531971112929615872,1734359276213461047,rkrijuara,https://twitter.com/rkrijuara/status/1734359276213461047,Not Verified,361,positif,1,['#PrabowoGibranJuara2024']
2023-12-11 23:41:41+00:00,1734357819061899548,@ShamsiAli2 @prabowo @gibran_tweet  emang bisanya niru program orang lain.,0,2,0,0,in,1603626819898331136,1734357087906402663,denihartono513,https://twitter.com/denihartono513/status/1734357819061899548,Not Verified,83,negatif,-1,[]
2023-12-11 23:41:13+00:00,1734357703240319440,"#SelamatPagiJogja | Tribun Jogja |  DIY Ditarget Suara 70 Persen, Survey Litbang Kompass, Prabowo-Gibran Unggul",0,0,0,0,in,189059637,1734357703240319440,sonorafmjogja,https://twitter.com/sonorafmjogja/status/1734357703240319440,Not Verified,"8,196",netral,0,['#SelamatPagiJogja']
2023-12-11 23:40:45+00:00,1734357585892172047,@GirlBieberJ @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd @aniesbaswedan @cakimiNOW @Gerindra @golkar_id @4_devout @dika_maxelyou @mpoklela7 Mana nih yg pada nungguin survei litbang Kompas? Ujung2nya Prabowo juga kan yang menang. Tandanya survei itu bukan bayaran,0,0,0,0,in,745687209169326082,1734119284794876127,benoalatawii,https://twitter.com/benoalatawii/status/1734357585892172047,Not Verified,Follower Count Not Found,netral,0,[]
2023-12-11 23:40:10+00:00,1734357437027844457,"Bukan soal Survey dan Litbang Kompas  Denny Siregar Ngamuk Buntut Suara Prabowo-Gibran Rakabuming Terus Naik di Survei Terakhir, Ade Armando: Ikhlasin Aja. @adearmando61 @Dennysiregar7  https://t.co/vgrxUySWI5",0,0,0,0,in,1118169550694912000,1734357437027844457,IsrajabMuhammad,https://twitter.com/IsrajabMuhammad/status/1734357437027844457,Not Verified,9,netral,0,[]
2023-12-11 23:39:10+00:00,1734357187462316038,"TKN Prabowo-Gibran Kumpulkan Aktivis 98 dan Korban Penculikan Jelang Debat Pilpres 2024, Apa yang Dibahas? https://t.co/OExsIbzIhp https://t.co/OExsIbzIhp",0,0,0,0,in,1636627729675337734,1734357187462316038,posaktualcom,https://twitter.com/posaktualcom/status/1734357187462316038,Not Verified,500,negatif,-1,[]
2023-12-11 23:38:54+00:00,1734357117740691796,@griselruiz88 @ganjarpranowo @jokowi @prabowo @gibran_tweet @ruthnats @widorinis_ @NyaiiBubu bodoamat gua tetep pilih Ganjar Mahfud !!,0,1,0,0,in,4050916392,1734149259988189645,bbrrock9876,https://twitter.com/bbrrock9876/status/1734357117740691796,Not Verified,124,negatif,-1,[]
