judul_berita;media;tanggal_publikasi;hasil_sentimen
[HOAKS] Paslon Prabowo-Gibran Bubar - 12/12/2023 - Kabar ...;Kabar Sanggau;6 jam lalu;neutral
PSI: Prabowo-Gibran Paling Jelas Penerus Jokowi;detikNews;3 jam lalu;neutral
"TKN Optimistis Elektabilitas Prabowo-Gibran Bakal Meroket usai Debat 
Capres, Ini 4 Alasannya";Kabar24;9 jam lalu;neutral
"Prabowo Subianto Balas Sindiran Anies Baswedan soal Gibran Rakabuming Raka: 
Pemimpin Harus Dewasa";Nasional;23 jam lalu;neutral
TKN Prabowo-Gibran Janji Prioritaskan Swasembada Pangan di Lampung;detikcom;6 jam lalu;neutral
Viral Gibran Heboh Ajak Soraki Prabowo Usai Tangkis Anies;CNBC Indonesia;7 jam lalu;positive
Pakar: Bansos Jokowi Dapat Membuat Elektabilitas Prabowo-Gibran Naik;Nasional;8 jam lalu;neutral
Gibran Buka Suara soal Performa Prabowo di Debat Pertama Capres;CNN Indonesia;15 jam lalu;neutral
Kubu Prabowo-Gibran Akui Bingung dengan Sikap PDIP kepada Jokowi;Kabar24;1 hari lalu;negative
Ini Langkah Prabowo-Gibran untuk Gaet Kelompok Swing Voters - Jawa Pos;JawaPos.com;3 jam lalu;neutral
TKN Buka Suara soal Gibran Semangati Tim Kala Prabowo ...;CNN Indonesia;3 jam lalu;neutral
Komunitas 'Starling' Deklarasi Dukung Prabowo-Gibran di Pilpres 2024;CNN Indonesia;14 jam lalu;neutral
Kode Dua Jari Khofifah Tegaskan Dukungan ke Prabowo-Gibran;detikcom;2 hari lalu;neutral
Mampu Berantas Korupsi, Prabowo-Gibran Berpotensi Menang Satu Putaran;Tribun Jabar;2 jam lalu;neutral
TKN: Prabowo-Gibran Makin Diserang Makin Naik;detikNews;1 hari lalu;neutral
Angka Pemilih Galau Pilpres 2024 Masih Tinggi, Prabowo ...;Liputan6.com;4 jam lalu;neutral
"TKN Prabowo - Gibran Cerita Sukses Program Makan Siang Gratis Anak Sekolah 
di India dan Sudan";Bisnis Tempo;1 hari lalu;neutral
TKN Prabowo-Gibran: Anies Tak Update, UU ITE Baru Direvisi Kedua Kalinya;detikNews;8 jam lalu;neutral
4 Pernyataan Prabowo-Gibran Jawab Ejekan Joget hingga Politik Dinasti;detikNews;2 hari lalu;neutral
Airlangga Hartarto: Prabowo-Gibran Nomor 1, Masa Partainya Nggak Ikut?;detikcom;1 hari lalu;neutral
Yusril Tegaskan Prabowo-Gibran Tetap Dapat Legitimasi Hukum Politik Kokoh;detikNews;21 jam lalu;neutral
Spesifikasi Alphard, Mobil yang Antar Prabowo-Gibran ke Debat Capres;Otomotif;5 jam lalu;neutral
PSI Yakin Prabowo-Gibran Menang di Kota Depok ...;News;11 jam lalu;neutral
Daftar Lengkap Timses Prabowo-Gibran Jatim: Ada Dua Eks Gubernur;CNN Indonesia;2 hari lalu;neutral
Hasil Survei Prabowo-Gibran Unggul di Bali, Pengaruh Jokowi?;detikcom;2 hari lalu;neutral
"Hari Ini, Prabowo-Gibran Dijadwalkan Bertemu Pendukung di Sentul - 
Kompas.com";KOMPAS.com;3 hari lalu;neutral
"Jubir TKN Sebut Prabowo-Gibran Fokus Dorong Kesetaraan Gender serta 
Perlindungan Anak, Perempuan dan Disabilitas - Kompas.com";KOMPAS.com;22 jam lalu;neutral
Airin: Doa Para Ulama Banten Mengiringi Prabowo-Gibran;detikNews;1 hari lalu;neutral
"Bawaslu Larang Peredaran Tabloid ""Indonesia Maju"" Bergambar Prabowo-Gibran, 
Ini Alasannya - Kompas.com";Regional - KOMPAS.com;20 jam lalu;neutral
Isu Ketenagakerjaan Menjadi Perhatian Pasangan Prabowo-Gibran;KONTAN;1 hari lalu;neutral
TKN Bantah Prabowo-Gibran Gunakan Konsultan Politik Bongbong Marcos;Nasional;1 hari lalu;neutral
"Bawaslu Temukan 80 Konten Kampanye yang Langgar Aturan, Terbanyak Serang 
Prabowo-Gibran - Kompas.com";KOMPAS.com;1 hari lalu;neutral
Survei Prabowo-Gibran di Jabar Baik, RK: Tak Boleh Takabur dan Lena;Detik;3 hari lalu;neutral
"Sejumlah Buruh Pelabuhan di Cilincing Deklarasikan Dukungan ke 
Prabowo-Gibran - Kompas.com";KOMPAS.com;4 hari lalu;neutral
"Hari Ini Debat Pertama Capres Cawapres, ICJR Sebut Prabowo-Gibran Tak 
Singgung Soal Pelanggaran HAM Berat";Nasional;1 hari lalu;neutral
"TKD Prabowo-Gibran Sumut soal Spanduk 'Tolak Cawapres Asam Sulfat': 
Provokatif";Detik;6 hari lalu;neutral
"Pilpres 2024: Catat Janji Prabowo-Gibran Sepekan Kampanye, Hilirisasi 
sampai Dana Abadi Pondok Pesantren";Pemilu;1 minggu lalu;neutral
Gaya Kampanye Prabowo-Gibran Sepekan: Bagikan Susu, Pidato Hilirisasi;CNN Indonesia;6 hari lalu;neutral
Hari ke-12 kampanye, Prabowo ke Sumatera Barat, Gibran ke Jakarta;Antaranews.com;4 hari lalu;neutral
"Pakar Politik Sebut Prabowo-Gibran Tak Jor-joran Kampanye dan Blusukan 
karena Takut Blunder";Kabar24;5 hari lalu;negative
Wagub Marlin Gabung TKD Prabowo-Gibran, Begini Respons Ketua NasDem Kepri;Detik;6 hari lalu;neutral
Visi Misi Prabowo-Gibran : 17 Program Prioritas dan ...;Kabar Makassar;1 minggu lalu;neutral
"Dana Awal Kampanye Prabowo-Gibran Rp31,4 Miliar, Ganjar-Mahfud dan AMIN di 
Bawah Rp3 Miliar";Kabar24;2 hari lalu;neutral
Sabtu Biru Langit Ceria: Ajang Relawan Prabowo-Gibran Satukan Suara;CNN Indonesia;2 hari lalu;neutral
Publik Percaya Suara Pendukung Jokowi akan Beralih ke ...;Databoks;3 minggu lalu;neutral
Siap Menangkan Prabowo-Gibran 1 Putaran, Baper Buat ...;Detik;1 minggu lalu;neutral
Akibat Masalah Internal, Relawan Anies-Muhaimin Beralih ...;Politik;3 hari lalu;neutral
Saham Konglomerat Di Balik Prabowo-Gibran, Mana yang ...;CNBC Indonesia;2 minggu lalu;neutral
"Nyatakan Prabowo-Gibran Siap Debat dengan Format Apa Pun, TKN: Bahasa 
Inggris Tanpa Teks Juga Siap - Kompas.com";KOMPAS.com;1 minggu lalu;neutral
Agenda Kampanye Prabowo-Gibran Masih Dimatangkan;Kompas.id;2 minggu lalu;neutral
"Soal Survei Litbang Kompas Pemilih Jokowi Pindah ke Prabowo-Gibran, AHY: 
Saya Pikir Bagus - Kompas.com";KOMPAS.com;1 hari lalu;neutral
Yakin Menang 1 Putaran, TKD Jatim Targetkan Prabowo-Gibran Rebut 44% Suara;detikcom;1 minggu lalu;neutral
Nusron Wahid: Prabowo-Gibran Gimiknya Cuma Joget ...;Merdeka.com;2 hari lalu;neutral
"7 Cara Unik Dedi Mulyadi Sosialisasikan Prabowo-Gibran: Lomba Joget Gemoy - 
Kompas.com";KOMPAS.com;4 hari lalu;neutral
Muslimat NU Jatim Deklarasi Dukung Prabowo-Gibran di Pilpres 2024;detikNews;5 hari lalu;neutral
"Pengamat Ragu Prabowo-Gibran Menang Satu Putaran meski Puncaki Hasil Survei 
Terbaru, Ini Alasannya";Tribunnews.com;1 hari lalu;neutral
Nah! Ini 3 Jurus Prabowo-Gibran Berantas Korupsi;CNBC Indonesia;2 minggu lalu;negative
Muzani Targetkan Prabowo-Gibran Raup 63% Suara di Lampung;detikNews;5 hari lalu;neutral
"Prabowo Doa Bersama Kiai di Banten Hari Ini, Gibran ke CFD Jakarta - 
Kompas.com";KOMPAS.com;1 minggu lalu;neutral
"Ditanya Video Dirinya Dukung Prabowo-Gibran, Abuya Muhtadi: Jangan 
Didengarlah - Kompas.com";KOMPAS.com;1 minggu lalu;neutral
Prabowo-Gibran Siapkan Strategi Atasi Pengangguran Bagi ...;Politik;5 hari lalu;neutral
"Soal Info Palsu Doa Bersama Prabowo-Gibran di Lapangan TNI, TKN: Ada yang 
Hobi Menyerang - Kompas.com";KOMPAS.com;6 hari lalu;neutral
Tim Kampanye Prabowo-Gibran Banten Siapkan Strategi Kemenangan Pilpres;detikNews;1 minggu lalu;neutral
Jalankan Instruksi Zulhas, PAN Kaltim Siap Menangkan Prabowo-Gibran;detikNews;4 hari lalu;neutral
Prabowo-Gibran Tiru Jurus Bill Clinton di Pemilu AS;CNBC Indonesia;3 minggu lalu;neutral
Targetkan Menang Satu Putaran, Prabowo-Gibran Optimalkan ...;Kompas.id;2 minggu lalu;neutral
Gibran cuma hadir belasan menit, Relawan Jokowi-Prabowo tak kecewa;Antaranews.com;2 minggu lalu;neutral
Guntur Romli: Jangan-jangan Benar Ketua Timses Prabowo-Gibran Itu Pak Jokowi;detikNews;2 minggu lalu;neutral
Hitung-hitungan Suara Prabowo-Gibran vs Ganjar-Mahfud di Bali;Detik;2 minggu lalu;neutral
PDIP Blak-blakan Soal Nasib Bobby-Gibran Usai Dukung Prabowo;CNBC Indonesia;1 minggu lalu;neutral
Bobby Tugasi 23 Kelompok Relawan di Sumut Menangkan Prabowo-Gibran;detikcom;1 minggu lalu;neutral
Terungkap! Rencana Prabowo-Gibran Bangun 10 Kota Inovasi, Termasuk IKN;Ekonomi;2 minggu lalu;neutral
Iklan Susu Prabowo-Gibran di Televisi Terancam Pidana Pemilu;Politik;6 hari lalu;neutral
