judul_berita;portal_media;tanngal_publikasi;url;hasil_sentimen;olahan_teks
Live Now! Tim Prabowo-Gibran Beberkan Visi-Program Ekonomi;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/news/20231115130409-4-489208/live-now-tim-prabowo-gibran-beberkan-visi-program-ekonomi;netral;live now tim prabowo gibran visi program ekonomi
Ratusan Nelayan Jabar Deklarasi Dukung Prabowo-Gibran di ...;Politik;15/11/2023;https://politik.rmol.id/read/2023/11/15/597394/ratusan-nelayan-jabar-deklarasi-dukung-prabowo-gibran-di-pilpres-2024;netral;ratus nelayan jabar deklarasi dukung prabowo gibran
Waketum PAN Analogikan Prabowo-Gibran seperti Rumus Fisika, Apa Maksudnya?;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7038627/waketum-pan-analogikan-prabowo-gibran-seperti-rumus-fisika-apa-maksudnya;netral;waketum analogi prabowo gibran rumus fisika
Prabowo-Gibran Nomor Urut 2, Gerindra Jatim: Pertanda Victory dan Persatuan;Detik;15/11/2023;https://www.detik.com/jatim/berita/d-7038617/prabowo-gibran-nomor-urut-2-gerindra-jatim-pertanda-victory-dan-persatuan;netral;prabowo gibran nomor gerindra jatim victory
Prabowo-Gibran Nomor Urut 2, PAN: Jalan Tengah, Tidak ke ...;Politik;15/11/2023;https://politik.rmol.id/read/2023/11/15/597367/prabowo-gibran-nomor-urut-2-pan-jalan-tengah-tidak-ke-kiri-dan-kanan;netral;prabowo gibran nomor
TKN Prabowo-Gibran tekankan fitnah rusak cara berpolitik dan bernegara;ANTARA News;15/11/2023;https://www.antaranews.com/berita/3824628/tkn-prabowo-gibran-tekankan-fitnah-rusak-cara-berpolitik-dan-bernegara;negatif;tkn prabowo gibran tekan fitnah rusak politik negara
"Gibran Salim ke Megawati, TKN Prabowo-Gibran: Cara Santun Harus Ditunjukkan 
ke Lawan atau Kawan - Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/21335001/gibran-salim-ke-megawati-tkn-prabowo-gibran-cara-santun-harus-ditunjukkan-ke;netral;gibran salim megawati tkn prabowo gibran santun lawan kawan kompas com
"Jadi Cawapres Prabowo, Gibran Rakabuming Raka Punya Harta Rp 25,5 Miliar - 
Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/15073671/jadi-cawapres-prabowo-gibran-rakabuming-raka-punya-harta-rp-255-miliar;netral;cawapres prabowo gibran rakabuming harta rp miliar kompas com
Target 'Mewah' Prabowo-Gibran di Sukabumi;detikcom;15/11/2023;https://www.detik.com/jabar/berita/d-7038943/target-mewah-prabowo-gibran-di-sukabumi;netral;target mewah prabowo gibran sukabumi
Bos PPI: Iman Politik Jokowi Cuma 1, Dukung Prabowo-Gibran;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7039136/bos-ppi-iman-politik-jokowi-cuma-1-dukung-prabowo-gibran;netral;bos ppi politik jokowi dukung prabowo gibran
"TKN Prabowo-Gibran Segera Difinalkan, Khofifah Masuk Barisan Pemenangan - 
Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/05413841/tkn-prabowo-gibran-segera-difinalkan-khofifah-masuk-barisan-pemenangan;netral;tkn prabowo gibran final khofifah baris menang kompas com
Hashim: Jangan Pilih Prabowo-Gibran Kalo Nggak Suka, Ini Bukan Korut;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7039055/hashim-jangan-pilih-prabowo-gibran-kalo-nggak-suka-ini-bukan-korut;negatif;hashim pilih prabowo gibran suka korut
Survei Polmatrix sebut Prabowo-Gibran berpotensi menang satu putaran;Antaranews.com;15/11/2023;https://www.antaranews.com/berita/3824406/survei-polmatrix-sebut-prabowo-gibran-berpotensi-menang-satu-putaran;netral;survei polmatrix prabowo gibran potensi menang putar
