Word,Date,Frequency
live,2023-11-15,1
now,2023-11-15,1
tim,2023-11-15,2
prabowo,2023-11-15,32
gibran,2023-11-15,27
visi,2023-11-15,1
program,2023-11-15,1
ekonomi,2023-11-15,1
waketum,2023-11-15,1
analogi,2023-11-15,1
rumus,2023-11-15,1
fisika,2023-11-15,1
nomor,2023-11-15,2
gerindra,2023-11-15,2
jatim,2023-11-15,1
victory,2023-11-15,1
tkn,2023-11-15,4
tekan,2023-11-15,1
fitnah,2023-11-15,1
rusak,2023-11-15,2
politik,2023-11-15,4
negara,2023-11-15,1
salim,2023-11-15,1
megawati,2023-11-15,1
santun,2023-11-15,1
lawan,2023-11-15,1
kawan,2023-11-15,1
kompas,2023-11-15,4
com,2023-11-15,4
cawapres,2023-11-15,4
rakabuming,2023-11-15,1
harta,2023-11-15,1
rp,2023-11-15,1
miliar,2023-11-15,1
target,2023-11-15,2
mewah,2023-11-15,1
sukabumi,2023-11-15,1
bos,2023-11-15,1
ppi,2023-11-15,1
jokowi,2023-11-15,6
dukung,2023-11-15,3
final,2023-11-15,1
khofifah,2023-11-15,1
baris,2023-11-15,1
menang,2023-11-15,5
hashim,2023-11-15,3
pilih,2023-11-15,1
suka,2023-11-15,1
korut,2023-11-15,1
survei,2023-11-15,1
polmatrix,2023-11-15,1
potensi,2023-11-15,2
putar,2023-11-15,1
haris,2023-11-15,1
ketua,2023-11-15,1
jambi,2023-11-15,1
djarot,2023-11-15,1
nyangka,2023-11-15,1
air,2023-11-15,2
susu,2023-11-15,1
balas,2023-11-15,1
tuba,2023-11-15,1
awas,2023-11-15,1
bilang,2023-11-15,1
pidana,2023-11-15,1
nawacita,2023-11-15,1
post,2023-11-15,1
selesai,2023-11-15,1
pangan,2023-11-15,1
tantang,2023-11-15,1
media,2023-11-15,1
sorot,2023-11-15,1
pilpres,2023-11-15,3
capres,2023-11-15,2
anies,2023-11-15,3
ganjar,2023-11-15,5
elektabilitas,2023-11-15,1
juara,2023-11-15,1
isu,2023-11-15,1
dinasti,2023-11-15,2
psi,2023-11-15,1
aceh,2023-11-15,1
mta,2023-11-15,1
seret,2023-11-15,1
nama,2023-11-15,1
dalam,2023-11-15,1
polemik,2023-11-15,1
anggar,2023-11-15,1
sentil,2023-11-15,1
drakor,2023-11-15,1
adik,2023-11-15,2
singgung,2023-11-15,1
dagel,2023-11-15,1
