Headline;Media;Date;url
Live Now! Tim Prabowo-Gibran Beberkan Visi-Program Ekonomi;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/news/20231115130409-4-489208/live-now-tim-prabowo-gibran-beberkan-visi-program-ekonomi
Ratusan Nelayan Jabar Deklarasi Dukung Prabowo-Gibran di ...;Politik;15/11/2023;https://politik.rmol.id/read/2023/11/15/597394/ratusan-nelayan-jabar-deklarasi-dukung-prabowo-gibran-di-pilpres-2024
Waketum PAN Analogikan Prabowo-Gibran seperti Rumus Fisika, Apa Maksudnya?;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7038627/waketum-pan-analogikan-prabowo-gibran-seperti-rumus-fisika-apa-maksudnya
Prabowo-Gibran Nomor Urut 2, Gerindra Jatim: Pertanda Victory dan Persatuan;Detik;15/11/2023;https://www.detik.com/jatim/berita/d-7038617/prabowo-gibran-nomor-urut-2-gerindra-jatim-pertanda-victory-dan-persatuan
Prabowo-Gibran Nomor Urut 2, PAN: Jalan Tengah, Tidak ke ...;Politik;15/11/2023;https://politik.rmol.id/read/2023/11/15/597367/prabowo-gibran-nomor-urut-2-pan-jalan-tengah-tidak-ke-kiri-dan-kanan
TKN Prabowo-Gibran tekankan fitnah rusak cara berpolitik dan bernegara;ANTARA News;15/11/2023;https://www.antaranews.com/berita/3824628/tkn-prabowo-gibran-tekankan-fitnah-rusak-cara-berpolitik-dan-bernegara
"Gibran Salim ke Megawati, TKN Prabowo-Gibran: Cara Santun Harus Ditunjukkan 
ke Lawan atau Kawan - Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/21335001/gibran-salim-ke-megawati-tkn-prabowo-gibran-cara-santun-harus-ditunjukkan-ke
"Jadi Cawapres Prabowo, Gibran Rakabuming Raka Punya Harta Rp 25,5 Miliar - 
Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/15073671/jadi-cawapres-prabowo-gibran-rakabuming-raka-punya-harta-rp-255-miliar
Target 'Mewah' Prabowo-Gibran di Sukabumi;detikcom;15/11/2023;https://www.detik.com/jabar/berita/d-7038943/target-mewah-prabowo-gibran-di-sukabumi
Bos PPI: Iman Politik Jokowi Cuma 1, Dukung Prabowo-Gibran;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7039136/bos-ppi-iman-politik-jokowi-cuma-1-dukung-prabowo-gibran
"TKN Prabowo-Gibran Segera Difinalkan, Khofifah Masuk Barisan Pemenangan - 
Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/05413841/tkn-prabowo-gibran-segera-difinalkan-khofifah-masuk-barisan-pemenangan
Hashim: Jangan Pilih Prabowo-Gibran Kalo Nggak Suka, Ini Bukan Korut;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7039055/hashim-jangan-pilih-prabowo-gibran-kalo-nggak-suka-ini-bukan-korut
Survei Polmatrix sebut Prabowo-Gibran berpotensi menang satu putaran;Antaranews.com;15/11/2023;https://www.antaranews.com/berita/3824406/survei-polmatrix-sebut-prabowo-gibran-berpotensi-menang-satu-putaran
Al Haris Jadi Ketua Tim Prabowo-Gibran di Jambi, Target Kemenangan 70 Persen;Detik;15/11/2023;https://www.detik.com/sumbagsel/berita/d-7038703/al-haris-jadi-ketua-tim-prabowo-gibran-di-jambi-target-kemenangan-70-persen
Djarot soal Gibran Cawapres Prabowo: Tak Nyangka Air Susu Dibalas Air Tuba;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7039141/djarot-soal-gibran-cawapres-prabowo-tak-nyangka-air-susu-dibalas-air-tuba
Rangkul Gibran, Pendukung Prabowo di Purwakarta ...;Politik;15/11/2023;https://politik.rmol.id/read/2023/11/15/597426/rangkul-gibran-pendukung-prabowo-di-purwakarta-nyebrang-ke-anies
Awas! Bilang Prabowo-Gibran Tidak Sah Bisa Dipidana - Nawacita Post;Nawacita Post;15/11/2023;https://www.nawacitapost.com/nasional/2023/11/15/awas-bilang-prabowo-gibran-tidak-sah-bisa-dipidana/
Selesaikan Persoalan Pangan, Prabowo Hadapi Tantangan Ini!;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/news/20231115201523-8-489412/selesaikan-persoalan-pangan-prabowo-hadapi-tantangan-ini
Media AS Sorot Pilpres, Sebut Capres Prabowo-Anies-Ganjar Ini;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/news/20231115143436-4-489264/media-as-sorot-pilpres-sebut-capres-prabowo-anies-ganjar-ini
Elektabilitas Prabowo-Gibran Tetap Juara di Tengah Isu Dinasti Politik;Katadata;15/11/2023;https://katadata.co.id/berita/nasional/elektabilitas-prabowo-gibran-tetap-juara-di-tengah-isu-dinasti-politik/6554cf01d9641
Gerindra Akui Sulit Menang di Jateng, Tapi... - Kompas.com;Regional - KOMPAS.com;15/11/2023;https://regional.kompas.com/read/2023/11/15/231758478/gerindra-akui-sulit-menang-di-jateng-tapi
PSI Aceh Minta MTA Jangan Seret Nama Prabowo-Gibran dalam Polemik Anggaran;Serambinews.com;15/11/2023;https://aceh.tribunnews.com/2023/11/15/psi-aceh-minta-mta-jangan-seret-nama-prabowo-gibran-dalam-polemik-anggaran
Ganjar Sentil Drakor di Pilpres 2024, Adik Prabowo Singgung Dagelan;CNN Indonesia;15/11/2023;https://www.cnnindonesia.com/nasional/20231115190828-617-1024768/ganjar-sentil-drakor-di-pilpres-2024-adik-prabowo-singgung-dagelan
