created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 04 23:59:47 +0000 2023;1,73E+18;@Dennysiregar7 @prabowo @gibran_tweet Wew blunder kah? Atau emang mau cb nyari suara para pegiat barat?;0;0;0;0;in;1,10E+18;1,73E+18;molluskuy;https://twitter.com/molluskuy/status/1731825660732018768
Mon Dec 04 23:59:21 +0000 2023;1,73E+18;Prabowo Gibran akan menjadikan Indonesia sangat tangguh ,percepatan pembangunan yg tepat sasaran melanjutkan Program2 Jokowi yg berlian.;0;0;0;1;in;3197068536;1,73E+18;ZkiTommy;https://twitter.com/ZkiTommy/status/1731825550795395374
Mon Dec 04 23:59:19 +0000 2023;1,73E+18;@Dennysiregar7 @prabowo @gibran_tweet Bagaimana nasib negara ini bila dipegang ditangan orang2 seprti ini;0;0;0;0;in;1,72E+18;1,73E+18;SnyderMady14797;https://twitter.com/SnyderMady14797/status/1731825540644876347
Mon Dec 04 23:59:00 +0000 2023;1,73E+18;Ada 20% Angka Stunting di Purwakarta, Ace Hasan Minta Penyaluran Bansos Tepat Sasaran #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/vsfVK5G8Ky;0;1;50;11;in;7,22E+17;1,73E+18;golkarpedia;https://twitter.com/golkarpedia/status/1731825460688904265
Mon Dec 04 23:58:32 +0000 2023;1,73E+18;Gimana nich...  Krn Sth tahu hukum byk yg berpaling ke @aniesbaswedan @Pak_JK @jokowi @prabowo @gibran_tweet @AgusYudhoyono @sby  https://t.co/v60GKCvR9X;0;0;0;0;in;1,47E+18;1,73E+18;Martinluth91;https://twitter.com/Martinluth91/status/1731825344746017015
Mon Dec 04 23:58:18 +0000 2023;1,73E+18;@Dennysiregar7 @prabowo @gibran_tweet seharusnya dari sini Masyarakat semakin melek semakin paham dan ngerti bahwa memang mereka gak pantes dipilih;0;0;0;0;in;1,68E+18;1,73E+18;Alleiraa2;https://twitter.com/Alleiraa2/status/1731825286453318099
Mon Dec 04 23:58:17 +0000 2023;1,73E+18;@TeddGus @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet Wah kayaknya minum Asam Sulfat ini waketum partai Nol Koma Nol 🤣🤣🤣🤣;0;0;0;0;in;1,69E+18;1,73E+18;ZFatlani;https://twitter.com/ZFatlani/status/1731825281864769863
Mon Dec 04 23:57:45 +0000 2023;1,73E+18;@Dennysiregar7 @prabowo @gibran_tweet Oalah apa boleh sesimpel begini ya....rasa rasanya baru denger di telinga ...kok bisa y;0;0;0;0;in;1,59E+18;1,73E+18;januriya88;https://twitter.com/januriya88/status/1731825148162916384
Mon Dec 04 23:57:32 +0000 2023;1,73E+18;@Dennysiregar7 @prabowo @gibran_tweet Coba deh mending belajar dulu tentang HAM dan keagaamaan;0;0;0;0;in;1,69E+18;1,73E+18;3Neneliu;https://twitter.com/3Neneliu/status/1731825092672561302
Mon Dec 04 23:57:25 +0000 2023;1,73E+18;@TeddGus @prabowo @gibran_tweet Mau bilang gini aja teddy teddy...;0;0;0;0;in;1,09E+18;1,73E+18;Hadoy44743426;https://twitter.com/Hadoy44743426/status/1731825063647748147
Mon Dec 04 23:56:59 +0000 2023;1,73E+18;@Dennysiregar7 @prabowo @gibran_tweet Ni tuh maksud dan tujuannya untuk apa sih ?;0;0;0;0;in;1,69E+18;1,73E+18;2Zidiji;https://twitter.com/2Zidiji/status/1731824953215844635
Mon Dec 04 23:56:57 +0000 2023;1,73E+18;@Miduk17 @jehidayat3 Aduh..  Rt aja bisa debat apalagi sekelas Prabowo Gibran.  Ini kan ulah para pendukung Capres No 3 yang TIDAK LAYAK JUAL lalu pendukungnya ngamuk.;0;0;0;0;in;4319618606;1,73E+18;Dulure_Gibran;https://twitter.com/Dulure_Gibran/status/1731824947356635206
Mon Dec 04 23:56:48 +0000 2023;1,73E+18;@TeddGus @prabowo @gibran_tweet Apakah mengatakan yg Benar Salah ?????  Halus sikit nih .....kambing anaknya kambing Kan ???? Dan kumpul satu kandang dengan kambing ya .!?;0;0;0;0;in;1,60E+18;1,73E+18;Lamboksiahaan18;https://twitter.com/Lamboksiahaan18/status/1731824906034364842
