created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 29 23:59:00 +0000 2023;1730013521310802379;"Janji Ridwan Kamil Kepada Prabowo: Dari Soal Balas Budi Hingga Menang 1 Putaran #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/o7fkHBCv7I";0;17;77;90;in;721898354502930433;1730013521310802379;golkarpedia;https://twitter.com/golkarpedia/status/1730013521310802379
Wed Nov 29 23:58:47 +0000 2023;1730013466474463432;"@RcyberProj0 @prabowo @gibran_tweet @Projo_Pusat Kirain ribuan/jutaan";0;0;0;0;in;1577645227220746240;1729652171434541424;iman388890182;https://twitter.com/iman388890182/status/1730013466474463432
Wed Nov 29 23:57:51 +0000 2023;1730013231031422980;"@TeddGus @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd Prabowo gibran sibuk ngumpet takut d ajak debat publik awokwokwok";0;0;0;0;in;1713906605077790720;1729696379579089074;leeminhogita;https://twitter.com/leeminhogita/status/1730013231031422980
Wed Nov 29 23:57:44 +0000 2023;1730013205752410137;"@S4N_W1B1 @ferdinand_mpu Prabowo/Gibran memang satu putaran 💪💪";0;0;0;2;in;1417878532835844097;1729901990963220686;antoNur18;https://twitter.com/antoNur18/status/1730013205752410137
Wed Nov 29 23:57:44 +0000 2023;1730013204234011017;"@Gojokaisen86 @RcyberProj0 @prabowo @gibran_tweet @Projo_Pusat Banyak akun-akun aneh bertebaran di X.  Satu mengumpan... yang lain menjawab dan menguatkan. Rata2 dari paslon 2. Bayarankah?";0;0;0;0;in;1580866053248163843;1729652171434541424;sarkowi_namaku;https://twitter.com/sarkowi_namaku/status/1730013204234011017
Wed Nov 29 23:56:52 +0000 2023;1730012985144574109;"@RcyberProj0 @prabowo @gibran_tweet @Projo_Pusat mkmkmkmkmkmkmkmkmkmkmkmk..........Habib Luthfi dukung gibran cok";0;0;0;0;et;1693960818898120704;1729652171434541424;gembongkem0808;https://twitter.com/gembongkem0808/status/1730012985144574109
Wed Nov 29 23:55:50 +0000 2023;1730012724061671503;"@gibran_tweet #prabowogibran PASANGAN ILEGAL BONEKA PARA KORUPTOR KELAS KAKAP PRODAK SANDERAAN REZIM JKW..";0;0;0;1;in;1662756081389670401;1729768471334985909;rajatanya219446;https://twitter.com/rajatanya219446/status/1730012724061671503
Wed Nov 29 23:55:22 +0000 2023;1730012608584155617;"@tvOneNews Prabowo Gibran itu tidak ada visi misi yg baru,sebab niat mereka berdua ingin meneruskan apa yg sudah pak Jokowi kerjakan yg belum selesai,makanya simpatisan pak Jokowi haru menilai apa yg mereka lakukan di musim kampanye ini,agar tidak salah paham,seharusnya simpatisan membela.";0;0;0;0;in;1647144338038882304;1729682238856687897;Nurhadi06842723;https://twitter.com/Nurhadi06842723/status/1730012608584155617
Wed Nov 29 23:55:10 +0000 2023;1730012558634233943;"@VIVAcoid kepada @bawaslu_RI ini melanggar aturan ga? koq ngundang influencer utk kepentingan kampanyenya di kantor kemenhan? @prabowo @gibran_tweet";0;0;0;0;in;1642526994515779585;1729984977943818417;abidin_shabir;https://twitter.com/abidin_shabir/status/1730012558634233943
Wed Nov 29 23:53:39 +0000 2023;1730012177774624909;"Ingat Neno Warisman Deklarator 2019GantiPresiden dan Doa Kontroversial? Kini Dukung Prabowo-Gibran - Tribun Medan https://t.co/xNyh2x3lbO #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;772985986187825152;1730012177774624909;Herlina_Muachhh;https://twitter.com/Herlina_Muachhh/status/1730012177774624909
Wed Nov 29 23:53:39 +0000 2023;1730012177330024511;"Ingat Neno Warisman Deklarator 2019GantiPresiden dan Doa Kontroversial? Kini Dukung Prabowo-Gibran - Tribun Medan https://t.co/G2uLoKuCiP #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;4561819285;1730012177330024511;doddy_h4312;https://twitter.com/doddy_h4312/status/1730012177330024511
Wed Nov 29 23:53:39 +0000 2023;1730012176612835506;"Ingat Neno Warisman Deklarator 2019GantiPresiden dan Doa Kontroversial? Kini Dukung Prabowo-Gibran - Tribun Medan https://t.co/Wd7PlitdN3 #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;4579831158;1730012176612835506;ChairudinN6548;https://twitter.com/ChairudinN6548/status/1730012176612835506
