created_at,phrase,count
2023-11-28,prabowo gibran,591
2023-12-11,prabowo gibran,515
2023-12-10,prabowo gibran,509
2023-12-09,prabowo gibran,488
2023-12-14,prabowo gibran,468
2023-12-06,prabowo gibran,464
2023-11-22,prabowo gibran,406
2023-11-30,prabowo gibran,389
2023-11-26,prabowo gibran,383
2023-12-13,prabowo gibran,350
2023-11-17,prabowo gibran,343
2023-12-01,prabowo gibran,297
2023-12-08,prabowo gibran,288
2023-12-07,prabowo gibran,284
2023-11-25,prabowo gibran,282
2023-12-05,prabowo gibran,275
2023-12-03,prabowo gibran,249
2023-11-19,prabowo gibran,225
2023-12-11,jawa timur,189
2023-11-29,prabowo gibran,139
2023-12-15,prabowo gibran,139
2023-12-04,prabowo gibran,137
2023-12-02,prabowo gibran,94
2023-11-22,serasinyapaslon pabowomasgibran,86
2023-12-11,ganjar mahfud,86
2023-11-22,prabowo subianto,86
2023-12-11,pendidikan jawa,85
2023-12-12,prabowo gibran,84
2023-11-27,prabowo gibran,75
2023-12-13,rumah sakit,69
2023-12-09,demokrat belas,66
2023-11-20,prabowo gibran,64
2023-11-28,prabowo subianto,61
2023-12-09,gibran menang,57
2023-11-24,prabowo gibran,57
2023-11-23,prabowo gibran,56
2023-11-18,prabowo gibran,56
2023-12-08,demokrat ahy,54
2023-11-28,tkn prabowo,53
2023-12-10,ganjar mahfud,50
2023-12-13,cak imin,49
2023-11-15,prabowo gibran,47
2023-12-09,agusyudhoyono demokrat,44
2023-11-21,prabowo gibran,44
2023-12-09,pdemokrat agusyudhoyono,44
2023-11-22,generasi muda,44
2023-11-28,menang putaran,43
2023-11-19,dukung prabowo,42
2023-12-11,guru ngaji,42
2023-11-30,menang putaran,41
2023-12-08,menangkan prabowo,41
2023-11-28,gibran menang,39
2023-12-08,agusyudhoyono demokrat,38
2023-11-28,makan siang,38
2023-12-08,pdemokrat agusyudhoyono,38
2023-11-17,ganjar mahfud,37
2023-12-07,asam sulfat,37
2023-11-28,pasangan prabowo,37
2023-12-14,gibran menang,36
2023-12-07,bela rakyat,35
2023-12-07,demokrat bela,35
2023-12-04,asam sulfat,35
2023-12-09,ganjar mahfud,35
2023-11-22,dukung prabowo,34
2023-12-09,menang putaran,34
2023-12-11,gibran dianggap,34
2023-12-13,bikin rumah,33
2023-11-26,cak imin,33
2023-12-10,gibran menang,33
2023-12-10,bareng rakyat,33
2023-12-14,agusyudhoyono demokrat,33
2023-12-10,demokrat bareng,33
2023-12-14,pdemokrat agusyudhoyono,33
2023-12-06,gibran menang,32
2023-12-11,pendidikan daerah,32
2023-11-30,gibran menang,32
2023-11-22,ganjar mahfud,31
2023-12-06,prabowo subianto,31
2023-12-06,demokrat rakyat,31
2023-12-13,anies cak,28
2023-12-10,indonesia maju,28
2023-12-11,program ganjar,28
2023-12-05,asam sulfat,28
2023-11-25,gibran menang,27
2023-12-06,pendukung prabowo,27
2023-12-13,gibran bikin,27
2023-11-25,menang putaran,27
2023-11-17,gibran menang,27
2023-12-14,tkn prabowo,27
2023-12-07,prabowo subianto,26
2023-12-09,menangkan prabowo,26
2023-12-06,pdemokrat agusyudhoyono,26
2023-11-26,anies cak,26
2023-12-07,gibran menang,26
2023-12-06,agusyudhoyono demokrat,26
2023-11-28,susu gratis,26
2023-12-11,warga jawa,25
2023-11-25,dukung prabowo,25
2023-12-15,bareng ahy,25
2023-12-13,gibran menang,25
2023-12-11,gibran memiliki,25
2023-12-11,demokrat kawal,25
2023-12-14,menang putaran,25
2023-12-15,demokrat bareng,25
2023-11-17,mas gibran,25
2023-11-28,tim kampanye,25
2023-12-09,dukung prabowo,24
2023-12-13,sakit anies,24
2023-12-11,kawal prabowo,24
2023-11-19,perangkat desa,24
2023-12-14,prabowo subianto,24
