Word,Frequency,tanggal_publikasi
live,1,2023-11-15
now,1,2023-11-15
tim,2,2023-11-15
prabowo,32,2023-11-15
gibran,27,2023-11-15
visi,1,2023-11-15
program,1,2023-11-15
ekonomi,1,2023-11-15
waketum,1,2023-11-15
analogi,1,2023-11-15
rumus,1,2023-11-15
fisika,1,2023-11-15
nomor,2,2023-11-15
gerindra,3,2023-11-15
jatim,1,2023-11-15
victory,1,2023-11-15
tkn,5,2023-11-15
tekan,1,2023-11-15
fitnah,1,2023-11-15
rusak,2,2023-11-15
politik,4,2023-11-15
negara,1,2023-11-15
salim,1,2023-11-15
megawati,1,2023-11-15
santun,1,2023-11-15
lawan,1,2023-11-15
kawan,1,2023-11-15
kompas,5,2023-11-15
com,5,2023-11-15
cawapres,4,2023-11-15
rakabuming,1,2023-11-15
harta,2,2023-11-15
rp,2,2023-11-15
miliar,2,2023-11-15
target,2,2023-11-15
mewah,1,2023-11-15
sukabumi,1,2023-11-15
bos,1,2023-11-15
ppi,1,2023-11-15
jokowi,7,2023-11-15
dukung,3,2023-11-15
final,1,2023-11-15
khofifah,1,2023-11-15
baris,1,2023-11-15
menang,6,2023-11-15
hashim,3,2023-11-15
pilih,2,2023-11-15
suka,1,2023-11-15
korut,1,2023-11-15
survei,1,2023-11-15
polmatrix,1,2023-11-15
potensi,3,2023-11-15
putar,1,2023-11-15
haris,1,2023-11-15
ketua,2,2023-11-15
jambi,1,2023-11-15
djarot,1,2023-11-15
nyangka,1,2023-11-15
air,2,2023-11-15
susu,1,2023-11-15
balas,1,2023-11-15
tuba,1,2023-11-15
awas,1,2023-11-15
bilang,1,2023-11-15
pidana,1,2023-11-15
nawacita,1,2023-11-15
post,1,2023-11-15
selesai,1,2023-11-15
pangan,1,2023-11-15
tantang,1,2023-11-15
media,1,2023-11-15
sorot,1,2023-11-15
pilpres,3,2023-11-15
capres,2,2023-11-15
anies,3,2023-11-15
ganjar,5,2023-11-15
elektabilitas,1,2023-11-15
juara,1,2023-11-15
isu,1,2023-11-15
dinasti,2,2023-11-15
sulit,1,2023-11-15
jateng,1,2023-11-15
psi,1,2023-11-15
aceh,1,2023-11-15
mta,1,2023-11-15
seret,1,2023-11-15
nama,1,2023-11-15
dalam,1,2023-11-15
polemik,1,2023-11-15
anggar,2,2023-11-15
sentil,1,2023-11-15
drakor,1,2023-11-15
adik,2,2023-11-15
singgung,1,2023-11-15
dagel,1,2023-11-15
rakyat,1,2023-11-15
bang,1,2023-11-15
zaki,1,2023-11-15
panglima,1,2023-11-15
jakarta,1,2023-11-15
rebut,1,2023-11-15
suara,3,2023-11-15
penuh,1,2023-11-15
cirebon,1,2023-11-15
kantong,1,2023-11-15
cek,1,2023-11-15
fakta,2,2023-11-15
hoaks,1,2023-11-15
kpu,1,2023-11-15
batal,1,2023-11-15
gabung,2,2023-11-15
kaya,1,2023-11-15
muhaimin,1,2023-11-15
mahfud,1,2023-11-15
kabaharkam,1,2023-11-15
polisi,1,2023-11-15
pasang,1,2023-11-15
baliho,1,2023-11-15
proritaskan,1,2023-11-15
lapang,1,2023-11-15
wni,1,2023-11-15
rencana,1,2023-11-15
ketat,1,2023-11-15
wna,1,2023-11-15
indonesia,2,2023-11-15
pdip,1,2023-11-15
move,1,2023-11-15
deklarasi,1,2023-11-15
sayap,1,2023-11-15
partai,2,2023-11-15
kalang,1,2023-11-15
pemuda,1,2023-11-15
sasar,1,2023-11-15
kaum,1,2023-11-15
milenial,1,2023-11-15
jabar,1,2023-11-15
dpc,1,2023-11-15
cianjur,2,2023-11-15
damai,1,2023-11-15
radar,1,2023-11-15
cerita,1,2023-11-15
kaget,1,2023-11-15
lapor,1,2023-11-15
kasus,1,2023-11-15
duga,1,2023-11-15
korupsi,2,2023-11-15
kemenhan,1,2023-11-15
gelar,1,2023-11-15
doa,1,2023-11-15
rawan,1,2023-11-15
bicara,1,2023-11-15
perang,1,2023-11-15
saudara,1,2023-11-15
anggawira,1,2023-11-15
lepas,1,2023-11-15
jabat,1,2023-11-15
presiden,1,2023-11-15
komisaris,1,2023-11-15
usaha,1,2023-11-15
krakatau,1,2023-11-15
steel,1,2023-11-15
deret,1,2023-11-15
tokoh,1,2023-11-15
timses,1,2023-11-15
tarung,1,2023-11-15
